xi,xj,LLM_model,prompt_id
He read the,He read the book and I was so impressed. I was so impressed with the way the author was able to capture the essence of the characters and the way they were portrayed.,BLOOM,125
The music peaked,"The music peaked in the 90s.
I think it peaked in the 90s.",OPT,495
She selected the,"She selected the first two of the three, and then the third. The first two were the most difficult, and the third was the easiest. The first two were the most difficult, and the third was the easiest.",BLOOM,265
The potion bubbled,"The potion bubbled up and hit the ground.
I think it was a potion that was supposed to be a potion that was supposed to be a potion that was supposed to be a potion that was supposed to be a potion that was supposed to",OPT,523
In the studio,"In the studio, the band is playing a song called “My Life Is A Dream”, which is a song about the journey of a man who has been through a lot of things.",BLOOM,207
In the stadium,"In the stadium, I'm going to be wearing my ""I'm a fan of the team"" shirt.",OPT,206
With a twist,"With a twist of the wrist, the 2019 BMW X3 xDrive30i can go from a comfortable cruiser to a capable off-roader.
The 2019 BMW X3 xDrive30i is a compact luxury crossover that",Falcon-7B,660
With a yawn,"With a yawn, the two men turned to the other side of the room. The man in the
darkness was a man of forty, and his face was very pale.",BLOOM,663
In the square,"In the square, the ""Piazza del Duomo"" is the heart of the city.",Falcon-7B,204
The river flowed,"The river flowed with blood.
The river flowed with blood.
The river flowed with blood.
The river flowed with blood.
The river flowed with blood.
The river flowed with blood.
The river flowed with blood.",OPT,537
The moon rose,"The moon rose over the horizon, and the sun set in the west. The stars shone brightly in the sky. The moon was full, and the sun was setting. The moon was full, and the sun was setting.",Falcon-7B,490
Across the street,"Across the street, in a two-story brick house, sat a woman in an old-fashioned dress watching her children.",GPT-Neo,2
He watered the,"He watered the waters and made the sun rise for the sake of Allah and His Apostle, as it did at the time of the Flood.[10]

Thereafter the Jews were divided into three groups: those who believed in Him and those who",GPT-2,144
"Carefully, he measured","Carefully, he measured the distance between the two trees.
""I'll have to cut it down,"" he said.
""You can't do that!""
""Why not?""
""Because it's a sacred tree.""",Falcon-7B,75
The canoe glided,"The canoe glided past the river and the boat was on the other side of the river. The boat was on the other side of the river, and the canoe was on the other side of the river.",BLOOM,350
With a smile,"With a smile on his face, Liu Yu looked back as he took out a knife.

As he looked at her with a raised brow, the door opened and it suddenly broke into a huge number.

Within a month, it was",GPT-2,649
With a sigh,"With a sigh, I put the phone down.
I’d been trying to get hold of my friend for a week. I’d left messages, sent texts, and even called her husband.",Falcon-7B,648
He looked around,"He looked around and saw that the man was wearing a mask. He was wearing a mask, and he was wearing a mask. He was wearing a mask, and he was wearing a mask.",BLOOM,114
With a gasp,"With a gasp, I realized that I had been reading the comments on the article.",OPT,637
With a shrug,"With a shrug and a shrug, she said, ""He always had me pegged for a redhead.""

""I wish you could have seen him,"" I said, ""the way he looked when he had you under the table to eat with",GPT-Neo,647
He read the,"He read the first two chapters on ""Breathe"" on his phone.

When we spoke, he went back quickly.

""I don't know who you are,"" Mr. Schulz said.",GPT-2,125
With a sneeze,"With a sneeze, you can make a fart sound.
I can't believe I never thought of that.",OPT,651
He watered the,"He watered the lawn using the sprinkler, leaving only its water to evaporate. That way he would stay on top of the weeds.",GPT-Neo,144
The music pulsed,The music pulsed through the speakers as they stood outside of the police station.,GPT-Neo,497
She danced to,"She danced to the tune he wanted to hear, while he sat on the floor, a man in his late 20s who had an office, a coffee table, some clothes and a car he'd bought a year before, all packed tight in his",GPT-2,239
The mountain loomed,"The mountain loomed large in the distance, and the sun was setting. The
mountains were all in the same direction, and the sun was setting on the
mountains.",BLOOM,492
The bird nested,"The bird nested in the tree, and the bird was the only one in the tree. The bird was the only one in the tree. The bird was the only one in the tree. The bird was the only one in the tree.",BLOOM,327
The fire crackled,The fire crackled and the flames spread. The fire was so intense that the entire building was consumed. The fire was so intense that the entire building was consumed. The fire was so intense that the entire building was consumed.,BLOOM,418
The rain drizzled,"The rain drizzled down on the streets of New York City, but the rain didn’t stop the “Glee” cast from having a great time at the “Glee” Season 2 premiere party at the Crosby Street Hotel.",Falcon-7B,529
"Slowly, she opened","Slowly, she opened her eyes. She was in a bed, in a room she didn't recognize. She was wearing a white nightgown, and she was cold.",Falcon-7B,297
The story unfolded,"The story unfolded in the early 1990s, when the government of the United States of America (USA) was trying to find a way to control the spread of the virus.",BLOOM,570
As night fell,"As night fell, the city began to fill with the aroma of food. Vendors set up on the sidewalks, offering every imaginable type of food. On a normal night in Tokyo, you would see almost no food on the ground.",GPT-Neo,15
She raised her,She raised her eyebrows.,Falcon-7B,259
"Gently, he pushed","Gently, he pushed her back against the wall, taking advantage of their small space in the room to use both of his hands to pin her down.",GPT-Neo,89
He stepped back,"He stepped back into the light of the street-lamp. ""But no. I had nothing to do with those murders. That was all your doing.",GPT-Neo,132
She smiled and,"She smiled and said, ""I have no idea.""

""I'd know if I had any friends in the neighborhood,"" he said, giving her a look.

""But you don't,"" she said, looking straight at him.",GPT-Neo,269
The grass swayed,"The grass swayed in the wind, and the wind swayed in the grass. The grass swayed in the wind, and the wind swayed in the grass.",BLOOM,444
The elevator arrived,The elevator arrived at the end of the hallway. The door was locked. The elevator was on the second floor. The elevator was on the second floor. The elevator was on the second floor. The elevator was on the second floor.,BLOOM,410
The verdict came,The verdict came down to whether or not there would be a vote of no confidence in Speaker Bronwyn Bishop.,GPT-Neo,595
The arrow flew,"The arrow flew through the air, and the arrow was like a sharp sword, and the arrow was like a sharp sword, and the arrow was like a sharp sword, and the arrow was like a sharp sword, and the arrow was like a sharp",Falcon-7B,309
With a click,"With a click of a button, you can now get a free copy of the latest version of the popular game.

The game is free to download and play, but you'll need to register to play.

The game is available",OPT,629
The kata flowed,"The kata flowed slowly as water entered.

The figure of the kata was about halfway up the water and looked like it was ready to swim in.",GPT-2,458
The bug fixed,"The bug fixed in this release is:
- [FIX] # (Bug # ) - [FIX] # (Bug # ) - [FIX] # (Bug",Falcon-7B,338
The finish line,"The finish line is a beautifully crafted, hand-carved, and hand-painted, bronze sculpture of the Virgin Mary. The sculpture is a tribute to the Virgin Mary, the Mother of God, and the Mother of the Church.",BLOOM,416
The waves lapped,"The waves lapped at his throat, but he could hear a soft thud along the beachside. I felt the air rise in the wind and crackle around the edges until the waves had rasped against his shirt.",GPT-2,604
He sat down,He sat down on the bed and pulled me down on top of him. I straddled him and he pulled my shirt up over my head.,Falcon-7B,128
The bell tolled,"The bell tolled the sound of the wind, and the wind was
still. The wind was still, and the bell was still. The wind was still,
and the bell was still. The wind was still, and the bell was still.",BLOOM,324
The audience applauded,"The audience applauded, and a band composed of various genres began moving through the floor, as well as more traditional jazz songs playing and vocal performance.",GPT-2,312
The results appeared,"The results appeared in an editorial published in *Nature*. Here we offer a more detailed analysis of the effect of these results ([Fig. 1](#F1){ref-type=""fig""}), with emphasis on their impact on the field.",GPT-Neo,535
He admired the,"He admired the power of the people he was talking to and I think it was because many people had never heard of him before and it was a moment after we had made our first tour or something.""

Wynne said his music always felt",GPT-2,103
The bird chirped,The bird chirped in their heads and barked. Their body color was dark red. They had no color markings on their abdomen.,GPT-2,325
The grain separated,The grain separated from the surface of the substrate by the grain boundary is called the grain boundary layer (GBL). The grain boundary layer is a thin layer of material that is deposited on the surface of the substrate.,BLOOM,441
In the library,"In the library, we had a nice little discussion about the merits of the book ""The Unbearable Lightness of Being"" by Paul DeMan.",GPT-Neo,184
In the pantry,"In the pantry, I found a bag of dried cranberries. I had a bag of dried cherries in the freezer. I had a bag of dried blueberries in the freezer. I had a bag of dried strawberries in the freezer.",Falcon-7B,195
"Slowly, he breathed","Slowly, he breathed in and out, trying to get the air out of his lungs.
He was trying to get the air out of his lungs.
He was trying to get the air out of his lungs.
He was trying",OPT,284
He looked away,"He looked away from the camera for a second.
I think he was looking at the camera.",OPT,115
The clay formed,"The clay formed in the upper part of the basin was deposited in the late Miocene, and the clay was deposited in the upper part of the basin in the late Miocene.",BLOOM,369
The sun set,"The sun set on an eventful, but ultimately sad, week for the world's largest economies. On Monday, the U.S.",GPT-Neo,574
In the shelter,"In the shelter, the dog was in a crate with a blanket over it. The dog was not allowed to move. The dog was not allowed to bark. The dog was not allowed to lick the blanket.",OPT,202
With a gasp,"With a gasp, I realized that I had been reading the comments on the article.",OPT,637
The phone buzzed,The phone buzzed. The man was a man of the world. He was a man of the world. He was a man of the world. He was a man of the world. He was a man of the world.,BLOOM,514
"Gently, he stroked","Gently, he stroked her hair, and she felt the warmth of his hand.

""I'm sorry,"" he said. ""I didn't mean to hurt you.""

""It's okay,"" she said.",OPT,90
The baby laughed,"The baby laughed and said, “Oh, my God, I can’t breathe.”
The baby was so happy that she was so happy that she was so happy that she was so happy that she was so happy that she was so happy that she",BLOOM,317
He looked up,He looked up at Kiyoshi with eyes like he knew it.,GPT-2,118
With a laugh,"With a laugh, she said this over two minutes before leaving.

""So you are talking to a girl who didn't like them? That's wrong, you know?",GPT-2,642
"Gently, he strummed","Gently, he strummed the strings of his guitar.
The notes were soft and sweet,
And the melody was so beautiful.
He sang a song of love and hope,
And the words were so true.
He sang",Falcon-7B,91
"Gently, she touched","Gently, she touched and kissed her belly for a short moment, then turned and walked off.",GPT-2,102
With a frown,"With a frown, I looked at the clock. It was 3:30 in the morning. I had been awake for hours. I had been tossing and turning, trying to get comfortable. I had been trying to get to sleep.",Falcon-7B,635
The train departed,"The train departed from the station at 7:30am and arrived at the station at 8:30am.

The train departed from the station at 7:30am and arrived at the station at 8:30am.

The",OPT,587
He researched the,He researched the history of the world and the history of the world. He was a great scholar and a great writer. He was a great man. He was a great man. He was a great man. He was a great man.,BLOOM,127
The cat jumped,"The cat jumped on the bed and the dog jumped on the bed.
The cat jumped on the bed and the dog jumped on the bed.
The cat jumped on the bed and the dog jumped on the bed.
The cat jumped on",OPT,357
The lake reflected,"The lake reflected the light so she didn't notice him, but she was so pleased with his answer she couldn't let it go.

""You see, I think there's a mystery to this thing, and maybe you could solve it.""",GPT-Neo,464
The seed sprouted,"The seed sprouted a tree.
The tree sprouted a seed.
The seed sprouted a tree.
The tree sprouted a seed.
The seed sprouted a tree.
The tree sprouted a seed.
The",OPT,547
The light bulb,"The light bulb is a symbol of the light of knowledge and enlightenment. It is a symbol of the light of the soul.
The light bulb is a symbol of the light of knowledge and enlightenment.",Falcon-7B,474
The chapter ended,"The chapter ended with a cliffhanger. I'm not sure if it's a good thing or a bad thing.
I think it's a good thing. It's a good way to end the chapter.",OPT,362
In the bedroom,"In the bedroom, the bed is the most important piece of furniture. It is the place where you spend a third of your life. It is the place where you sleep, rest, and relax. It is the place where you make love.",Falcon-7B,153
With a heavy,"With a heavy heart, I have to say that I'm not a fan of the new logo. I think it's a little too busy and I think it's a little too much like the old logo.",OPT,641
The firewall breached,"The firewall breached during this time? The main security
problem in a Linux system (especially during boot) is the
init process.",GPT-Neo,425
The clock chimed,"The clock chimed noon, the lunch bell rung, and she had to go.",GPT-Neo,370
She whispered softly,"She whispered softly, taking in the look of the frightened man.",GPT-2,280
The waves lapped,"The waves lapped on beaches, but not in a way that any local could see.

He felt the water seep into the bottom of his shoes.",GPT-Neo,604
The bees buzzed,"The bees buzzed and chirped, and the birds flew around the room. The
wonderful scene was the scene of the first of the many scenes of the
day. The sun was shining, and the clouds were falling.",BLOOM,320
As they raced,"As they raced over, they noticed the car had been driven by a young woman.

The woman, a 21-year-old from the United Kingdom, was seen to throw the car into reverse, then back out, before driving off.",GPT-Neo,51
The door closed,"The door closed behind him, and the man stood there, his face
shaking, his eyes fixed on the door.",BLOOM,402
The idea formed,"The idea formed at the time was the idea that there were only two worlds to rule the world, so we shouldn't have to think about what is and is not like the main story in order to gain a sense of a world.",GPT-2,453
The horse neighed,The horse neighed and the horse ran away. The horse ran away. The horse ran away. The horse ran away. The horse ran away. The horse ran away. The horse ran away. The horse ran away. The horse ran away.,BLOOM,448
In the studio,"In the studio I just sat, listening. Listening to the sounds of the earth moving through time. Listening to the waves. Listening to the wind. Listening to the waves falling on the beach. Listening to the ocean.",GPT-Neo,207
The pen scratched,The pen scratched in the snow. The pen pointed to the east. The pen scratched again. The pen scratched in the snow. The pen pointed to the west. The pen scratched again. The pen scratched in the snow.,GPT-Neo,512
The door slammed,"The door slammed shut behind him.

The door slammed shut behind him.

The door slammed shut behind him.

The door slammed shut behind him.

The door slammed shut behind him.

The door slammed shut",OPT,405
"Carefully, he poured","Carefully, he poured himself a goblet of wine, then another.

""The last time I spoke to the young man, I knew he was not the man I had in mind.",GPT-Neo,77
The cheese melted,"The cheese melted on the bread.
I'm not sure if you're joking or not, but that's actually a thing.
I'm not joking. I've seen it happen.",OPT,363
The rooster crowed,"The rooster crowed.

""We're out of ketchup,"" said Bess.",GPT-Neo,542
With a crescendo,"With a crescendo of “oohs” and “aahs,” the crowd at the 2017 National Association of Broadcasters (NAB) Show in Las Vegas was treated to a live performance by the legendary rock band Journey.",Falcon-7B,632
As they waited,"As they waited for the final result, the students were asked to write down their thoughts on the topic. The students were asked to write down their thoughts on the topic. The students were asked to write down their thoughts on the topic.",BLOOM,64
He admired the,He admired the way he was able to make the most of his time in the gym. He was able to get the most out of his time in the gym and was able to get the most out of his time in the gym.,BLOOM,103
The waves lapped,"The waves lapped at the shore, and the sun shone brightly.
The waves lapped at the shore, and the sun shone brightly.
The waves lapped at the shore, and the sun shone brightly.
The waves lapped",OPT,604
"Carefully, he placed","Carefully, he placed the two pieces of paper in the
pocket of his coat, and then, turning to the girl, he said, “You
are very kind, but I must tell you that I am not going to marry you",BLOOM,76
Turning the page,"Turning the page on 2016
As we turn the page on 2016, we are reminded of the many challenges we faced this year.
We are grateful for the many blessings we experienced, and we are thankful for the many opportunities we",Falcon-7B,616
The dog wagged,"The dog wagged its tail.""

It was a familiar sight to someone who was in the area, which would have been a shame for Stott, who was still wearing his yellow tracksuit and blue t-shirt that read ""I am",GPT-2,400
As morning came,"As morning came, the sun was shining brightly, and the sky was clear.
The air was cool and crisp, and the sun was shining brightly.
The air was cool and crisp, and the sun was shining brightly.
The air",OPT,12
The fire dimmed,"The fire dimmed, and the flames died down.",Falcon-7B,420
"Quietly, she hummed","Quietly, she hummed a few notes, and then she
went on to the door, and, turning to the man who was standing there,
she said, “You are not to come in.”

“You are not to",BLOOM,226
As they drove,"As they drove up to see him again, he had been sitting in his little cell, looking out the window. He seemed to be reading something—probably a newspaper. But he gave a long sigh, sat up, and looked at them sadly.",GPT-Neo,35
The robot moved,"The robot moved in a jerky, mechanical way, its arms and legs moving independently of each other.",Falcon-7B,540
The rooms echoed,"The rooms echoed the sound of the wind, the sound of the wind, the sound of the wind, the sound of the wind, the sound of the wind, the sound of the wind, the sound of the wind, the sound of the",BLOOM,541
The test passed,"The test passed.
I'm not sure if I should be happy or sad.
I'm not sure if I should be happy or sad.
I'm not sure if I should be happy or sad.
I'm not sure if",OPT,580
He decided to,"He decided to take a break from the world and to focus on his work. He has been working on a new book, which will be published in the spring of 2020.",BLOOM,109
As they created,"As they created the new system, they should have made it so that you can only get the rewards once per account.
I think they should have made it so that you can only get the rewards once per account.",OPT,32
In the garden,"In the garden: A look at the best of the best

The best of the best

The best of the best

The best of the best

The best of the best

The best of the best",OPT,177
"Quietly, he entered","Quietly, he entered the room.
She was sitting on the bed, her back to him.
He stood there for a moment, watching her.
She was so beautiful.
He could see her shoulders shaking, and he knew",Falcon-7B,217
With a frown,"With a frowning brow and a scowl, Nao said, ""I can't help it. My name is the one that makes you frown, that is to say, my name is Nao.",GPT-Neo,635
The snow fell,"The snow fell, and he got shot down the street.""

For the sake of the kids he's done all of this for, the boy started his own show in 1993, called ""American Ninja Kidsta."" He had two days a week",GPT-2,556
With a frown,"With a frown on his face, he looked at the man who had just entered the room.
""I'm sorry, I didn't mean to interrupt you.""
""No, it's fine.
I was just about to go to",OPT,635
The leaves fell,"The leaves fell off the tree, and the
winter was gone. The trees were covered with snow, and the snow was
so thick that it was impossible to see the leaves.",BLOOM,468
The cat purred,"The cat purred and began to sing.

""Hurry!"" she yelled. ""I can't sleep!""

It was a nice cat, just so small that it could take the place of an old cat's arm.",GPT-2,359
The bell chimed,"The bell chimed for a while, but we knew that had not come to pass.",GPT-2,321
In the garden,"In the garden

As I mentioned in my last post, things are so much different here. We have a big yard, and that’s what we’ve been focused on.",GPT-Neo,177
With a smile,"With a smile on his face, a hand outstretched to greet me. He had said we were going to have a drink together and he did not want the whole evening to be a failure. He came over to my side of the bench.",GPT-Neo,649
The wind howled,"The wind howled and the rain fell, but that didn’t stop the 2017 edition of the “Taste of the Nation” event from being a success.
The event, which was held at the Hilton Garden Inn in downtown",Falcon-7B,610
They laughed at,"They laughed at me for saying I was going to be a doctor.
I'm sorry to hear that. I hope you're doing better now.",OPT,615
The waves lapped,"The waves lapped against the walls that lined the harbor, the waves that had long ago been so vast they had become smaller as they passed over this shore.",GPT-Neo,604
As day broke,"As day broke and I was in the basement, trying to get up, and I saw a woman standing beside a table that had been covered in blood, and then, I thought it was all smoke. The car was not in headlights.",GPT-2,6
She debugged the,She debugged the entire process from one terminal without ever having to write anything.,GPT-2,240
As twilight fell,"As twilight fell on the first day of the 2018 World Cup, the United States was still in the hunt for a spot in the knockout round.
The Americans had a 1-0 lead over Portugal, but needed to win to advance",Falcon-7B,68
The crowd cheered,"The crowd cheered and a young member of the crowd threw himself at him, shouting: ""You're being a disgrace, you're a hero.""

Another protester was arrested after hitting Mr Kuchaly in the buttocks with a bottle while singing the",GPT-2,382
Sitting by the,"Sitting by the Sea (The Adventures of Little Dory Dory, The Adventures of Little Dory, The Adventures of Little Dory, The Adventures of Little Dory, The Adventures of Little Dory, The Adventures of Little Dory,",GPT-2,282
Looking into his,"Looking into his eyes, I can see the pain in his eyes.
I can see the pain in his eyes.",OPT,213
Beneath the trees,"Beneath the trees, the
walls of the castle were covered with a mass of grass, and the
walls were covered with a mass of grass.",BLOOM,71
The program ran,"The program ran from 2008 to 2012.
The program ran from 2008 to 2012.
The program ran from 2008 to 2012.
The program ran from 2008 to 2012",Falcon-7B,524
The horse neighed,"The horse neighed and roared.

In a world where there are no kings or empires, that could be the case. All you had to do was wait until one of the main races had finished its battle.

""What?",GPT-2,448
The bell tolled,"The bell tolled when a certain Mr. W. W. Green was hanged at Lewes, Sussex, in the reign of King William III.",GPT-Neo,324
As day ended,"As day ended, I was still in the same place. I was still in the same place. I was still in the same place. I was still in the same place. I was still in the same place.",BLOOM,7
The leaves fell,"The leaves fell from one branch under the tree and began to fall; the leaves began to fall away from the branches.

The Lord rose early and opened a door to the garden, but when the servants were at supper, they did not see",GPT-2,468
In the forest,"In the forest of the Bitterroot Mountains, Montana, a group of women gathered to discuss the work they’ve made so far.",GPT-Neo,173
In the closet,"In the closet, a closet full of sweaters, a closet full of sweaters, a closet full of sweaters.",GPT-Neo,160
"Slowly, he breathed","Slowly, he breathed in the air, and
he saw the light of the fire rising in the distance.",BLOOM,284
In the pizzeria,"In the pizzeria of the restaurant, there was a woman who was not a single.

As you walked through the restaurant you could see the barbeque outside, and you could hear the music.",GPT-Neo,197
With a gasp,"With a gasp, the man shook his head and looked at the woman. She was still standing there, her eyes still closed. She was still holding her breath, but she was still smiling. She was still smiling.",BLOOM,637
The river meandered,"The river meandered down the valley, now to the east, now to the west and finally disappeared amidst the trees.

“You’re on your own, buddy.",GPT-Neo,538
The curtain fell,The curtain fell on the world. The world was in a state of panic. The world was in a state of panic. The world was in a state of panic. The world was in a state of panic.,BLOOM,387
In the den,"In the den: the ""Big Crap""

So it's only been a year and a half since the day that a video, made in support of a ""black lives matter"" bill was even considered, has been made public.",GPT-2,168
The query returned,"The query returned 0 results.
The query returned 0 results.
The query returned 0 results.
The query returned 0 results.
The query returned 0 results.
The query returned 0 results.
The query",Falcon-7B,526
As time passed,"As time passed, this was the most-loved character in the series, and by the series end, this was how many people felt about him (by the way, if you want to make me a fan of your show, here is the",GPT-Neo,67
With a laugh,"With a laugh, the students took to the stairs to escape the classroom.

Dance, dancing, music…that was it.

""Wow…the amount of energy in them…is amazing.""

This wasn't the first",GPT-2,642
The rain pattered,"The rain pattered down on the roof of the house, and the wind howled through the trees.
The rain was coming down in sheets, and the wind was howling through the trees.
The rain was coming down in sheets,",OPT,532
She shaped the,She shaped the future of the Democratic Party.,OPT,266
He stretched his,He stretched his legs and looked at the sky. He was not alone. The sun was shining and the stars were shining. The sky was full of stars. The stars were shining. The stars were shining. The stars were shining.,BLOOM,135
The trail beckoned,The trail beckoned me out onto a hillside to enjoy nature's bounties to myself with my friends and family and enjoy the beautiful views. As I moved up I tried to do a little bit of everything.,GPT-2,585
With a splash,"With a splash of orange, and with the aid of a few swaths of green, this is the first major post of the new year.

This is a new blog, and one of those new ones that is really worth writing about.",GPT-Neo,654
The kite soared,"The kite soared up after a short sprint, but it was too late. The two fell down as the kite flew off the railing as the kite hit the ground.",GPT-2,463
The baby laughed,"The baby laughed and smiled.

But for those in the audience, they had little to say.",GPT-2,317
In the crowd,"In the crowd there was a woman with two small children, dressed as a girl. The girl's husband had just arrived from school when she saw her. He walked towards her crying.",GPT-2,166
The puppy wagged,The puppy wagged his tail.,GPT-Neo,525
The train whistled,"The train whistled.

Mason leaned back with his eyes open. 'Let'im eat,' he muttered, 'while it's cool. They won't get to eat till next year.",GPT-Neo,589
In the kitchen,"In the kitchen of the old house in which he and the old woman live, in the town where he went to school and still goes to work, in the neighbourhood where he has lived for forty-five years, in the town where he grew up",GPT-Neo,181
The aroma spread,"The aroma spread through the air, and the smell of the food was so good that it made people’s mouths water.
“What is this?”
“It’s a barbecue.”
“Barbecue?”
“Yes, it’",Falcon-7B,308
The bug fixed,"The bug fixed by the update.

Update 3

- A few more tweaks and fixes, such as a small amount of visual error when holding down the mouse wheel

- One more big thing that was broken so you can see what",GPT-2,338
With a sigh,"With a sigh of relief, I looked at the other two. They were all in the same boat, and I was glad to see them. I was glad to see them, too, because I was glad to see them.",BLOOM,648
As they monitored,As they monitored the effects of the two drugs on the expression of the genes encoding the proteins involved in the synthesis of the proteins involved in the synthesis of the proteins involved in the synthesis of the proteins involved in the synthesis of the proteins involved in the synthesis,BLOOM,47
The train rumbled,The train rumbled to a stop and there were only two survivors. The pair headed for the train's main cabin so there was no one to approach the train and they headed to the main cabin.,GPT-2,588
The pollen floated,"The pollen floated up into the sky and landed on the grass.
The pollen was a little bit sticky, but it was not sticky enough to be a problem.
The pollen was a little bit sticky, but it was not sticky enough to",OPT,521
As they drove,"As they drove, the sun was setting and the sky was a beautiful pink and orange.
The sun was setting and the sky was a beautiful pink and orange.
The sun was setting and the sky was a beautiful pink and orange.
The",Falcon-7B,35
In the cafeteria,"In the cafeteria, he saw that a few tables of students, not his own table, were not occupied. He could hear shouting, then running feet.",GPT-Neo,155
"Gently, she touched","Gently, she touched my shoulder.
I'm sorry, I'm not sure what you mean.
I'm sorry, I'm not sure what you mean.
I'm sorry, I'm not sure what you mean.
I",OPT,102
The wildlife thrived,"The wildlife thrived on the old-growth rainforest, which was mostly gone by the time the park was established.",GPT-Neo,607
With a ping,"With a ping of a foot, I slipped in behind the woman, who was holding a plate of bacon wrapped in bacon. The smell of the meat made me hungry.",GPT-Neo,645
As morning broke,"As morning broke, and the sun was shining, I was ready to go to bed. I was tired, but I was not tired. I was tired of the day, and I was tired of the night.",BLOOM,11
The door slammed,The door slammed shut.,GPT-Neo,405
She practiced the,She practiced the art of the sword and the sword was the most important weapon in the world. The sword was the most powerful weapon in the world. The sword was the most powerful weapon in the world.,BLOOM,256
In the den,In the den is the first-ever study to quantify the effects of a protein in an animal model of schizophrenia on mental health outcomes and is a major step in elucidating the neural substrates responsible for the cognitive decline associated with psychotic symptoms [17,GPT-2,168
She stood up,"She stood up and walked over to the door. ""I'm going to go see if I can find some food. I'll be back in a little while.""
""Okay,"" he said, and she left the room.",Falcon-7B,274
The candle flickered,"The candle flickered to life like flames, and the lights of the temple and the temple's bells moved rapidly from the center to the ceiling.",GPT-2,347
As they celebrated,"As they celebrated the day, police said one of the young men was holding a gun and shouted ""Hey, hey, get the weapon over here. Stop f—ing with this.""

The man left with the gun.",GPT-2,27
With a thresh,"With a threshhold of 40% in the latest polls, the 2019 General Election has arrived.",GPT-Neo,659
He turned back,He turned back from it when I asked her how much she loved her sister. She shook her head and waved it back.,GPT-2,140
"Carefully, he placed","Carefully, he placed the back of his hand against the left side of his neck; then gently, he moved his hand and found the spot where he was cut.",GPT-Neo,76
The path curved,"The path curved around the mountain.
I think it's a bit more complicated than that. The path curved around the mountain, but the mountain itself was not curved. The mountain was just a point in the path.",OPT,509
As they created,"As they created the first ever “free” online dating site, they were able to make a huge impact on the world. The site was created by a group of people who were passionate about finding love.",BLOOM,32
The dog wagged,"The dog wagged it tail.

""Are we ready to go?"" he asked, holding the leash in his hand.

""I'm ready,"" said Toby, looking over at him.

""Are you feeling okay?"" he",GPT-Neo,400
"Quietly, she whispered","Quietly, she whispered, “You’re not going to be able to get out of here.”
“You’re not going to be able to get out of here.” She said, and she looked at him.",BLOOM,229
The potion bubbled,"The potion bubbled from the tip of the stick, the glass breaking from a drop of water near her waist. It didn't matter that there weren't any.",GPT-2,523
In the gallery,"In the gallery below you'll find an overview of the game modes.

Turtle Dash has been developed on 3D, so it will allow you to walk around the game without touching your own body.",GPT-2,175
The dough rose,"The dough rose. The dough kept rising.

The dough was so fast and so precise. He wanted to tell you that there was more to it than the crust. It was so satisfying.

It was so simple.",GPT-2,407
Running through the,"Running through the weekend at home on my own, I feel like someone is watching me. A tiny person in a huge room, holding a tiny camera in a tiny hand.

The camera is pointed directly at my face.",GPT-Neo,231
With a nod,With a nod to George W.,GPT-2,644
The crowd swayed,"The crowd swayed to the beat of the music.
The crowd swayed to the beat of the music.
The crowd swayed to the beat of the music.
The crowd swayed to the beat of the music.
The crowd swayed to the",OPT,385
The deal closed,"The deal closed on June 30, 2020. The company has been in the business for over 20 years and has been in the business for over 20 years.",BLOOM,394
Looking into his,Looking into his own past now he could see the truth of the claim he'd been making for the first time in his life.,GPT-Neo,213
"Gently, she massaged","Gently, she massaged the area around his eyes, and he closed his eyes, enjoying the sensation.
""I'm sorry,"" she whispered.",Falcon-7B,95
The sun peeked,"The sun peeked over the far hills of East Texas

Monday, August 4, 2011

It's been a while since we took a look at another school and found that we liked what we saw.",GPT-Neo,572
The verdict came,"The verdict came with her on Saturday.

The trial of the former employee of the state corporation had been on for nearly three years before it was opened before the provincial government in 2012.",GPT-2,595
The ice formed,"The ice formed on the lake in the early morning hours of January 1st. The ice was about 1/4 inch thick.
The ice formed on the lake in the early morning hours of January 1st.",Falcon-7B,451
The bell echoed,"The bell echoed, and the two men were
together. The man who had been the first to speak was the one who
had been the first to speak.",BLOOM,322
He cracked the,He cracked the door and I was in the kitchen. I was so excited to see the new kitchen. I had never seen a kitchen before. I was so excited to see the new kitchen. I had never seen a kitchen before.,BLOOM,108
"Slowly, she opened","Slowly, she opened her eyes and saw the
sight of a man standing in the doorway. She turned and looked at him
with a look of surprise.",BLOOM,297
The deer froze,"The deer froze in the middle of the bed but did not move.

The cat died in one of the trees. ""We were very surprised to find the cats on this hillside in the winter,"" Ms. Hensley said.",GPT-2,395
She fixed the,"She fixed the problem and I was able to get my computer back up and running.
I have been using this service for a few years now and have never had a problem.
I have been using this service for a few years now and have",Falcon-7B,244
The bell chimed,"The bell chimed, and the crowd of students and faculty erupted in cheers.

The students and faculty gathered in the auditorium of the University of North Carolina at Chapel Hill on Wednesday to celebrate the graduation of the first class of the school",OPT,321
The ice melted,"The ice melted on the surface, its ice particles were thrown down and dropped in a storm.",GPT-2,452
The curtain parted,"The curtain parted and the light shone in.

The first thing I noticed was the smell. It was a combination of the air and the air conditioning. It was a combination of the air and the air conditioning.",OPT,389
The cat meowed,The cat meowed and rubbed against my legs. I bent down and scratched her ears. She purred and rubbed her head against my hand. I looked up at the sky. The sun was setting.,Falcon-7B,358
