xi,xj,LLM_model,prompt_id
In the workshop,"In the workshop, you can set the number of players in the server.
I know, but I want to play with my friends.
You can't.  You can only play with people in your friends list.",OPT,212
"Slowly, he kneaded","Slowly, he kneaded her breasts, his thumbs circling her nipples. He pinched them, rolled them, and then pinched them again. She moaned and arched her back, pushing her breasts into his hands.
""You like that?"" he asked",Falcon-7B,287
In the distance,"In the distance, the sound of a train whistle.
The sound of a train whistle.
The sound of a train whistle.
The sound of a train whistle.
The sound of a train whistle.
The sound of a train whistle",Falcon-7B,169
The sauce simmered,"The sauce simmered for 2 hours and the meat was tender and delicious.
I served it with a side of rice and a side of steamed broccoli.
I'm not sure if I'll make this again, but I'",Falcon-7B,544
The audience listened,"The audience listened through large earbuds that had been put in their ears.

In a darkened room, the audience members couldn’t see the live stream, but they could still hear the onscreen commentary from the crowd. One of",GPT-Neo,313
The bread baked,"The bread baked in the oven was a little too sweet for me. I wasn’t sure if I would like to bake it again, but I wasn’t sure if I would like to bake it again. I wasn’t sure if I would like",BLOOM,334
With a waft,"With a wafted air, he opened his mouth to speak, but without any response. In two-thirds of his two minutes, he was able to repeat the mistake that had sent him flying, to have fallen to him. The only change",GPT-2,661
In the crowd,"In the crowd, the audience was divided into two groups. The first group was the students who were studying in the classroom. The second group was the students who were studying in the classroom. The students who were studying in the classroom were divided into two",BLOOM,166
He stretched his,"He stretched his arms out and then he stretched his legs out.
He stretched his arms out and then he stretched his legs out.
He stretched his arms out and then he stretched his legs out.
He stretched his arms out and then",OPT,135
The clock chimed,"The clock chimed and the time for the meeting arrived.

""Come in, come in,"" the professor chipped nervously. He was obviously on edge, but he had to get used to this. The last thing he wanted was anybody to",GPT-Neo,370
He looked back,"He looked back at the door. ""I'm not sure I can do this.""
""You can do this,"" she said, her voice firm. ""You're a strong man. You're a good man. You",Falcon-7B,116
He sat down,"He sat down, his knees drawn up to his chest, his hands folded on top of the table. He smiled, a bit wistful.

""So, you're one of the lucky ones.""

""What do you mean",GPT-Neo,128
"Quietly, he entered","Quietly, he entered her room. He sat there almost at bay. Her hair was tied at the back with something more like a belt or scarf. She reached into a brown-haired purse and pulled a small, round notebook over her lap",GPT-2,217
The door creaked,"The door creaked with an explosion. It was just too big to leave without smashing it open.

""Sister… what are you doing?!"" The Queen looked out at the crowd, ""And I am going to have to go!""",GPT-2,403
The cat purred,"The cat purred.
I think it was more of a ""I'm going to kill you"" purr.",OPT,359
The mirror reflected,The mirror reflected the light from the mirror and the light reflected from the mirror was reflected by the mirror. The mirror reflected the light from the mirror and the light reflected from the mirror was reflected by the mirror. The mirror reflected the light from the mirror,BLOOM,486
As night approached,"As night approached, the soldiers in the armored vehicles stood. ""They said he was a civilian,"" said a soldier. ""They knew better. They didn't like him. They didn't like him because he was a member of ISIS. They said",GPT-2,13
The timer stopped,"The timer stopped at 1:00.
The timer stopped at 1:00.
I'm not sure if this is a bug or not, but I'm not sure if this is a bug or not, but I'",Falcon-7B,582
The kite soared,"The kite soared into the air and crashed into the tree. Kite dropped to the ground and landed on the ground, causing large splashes of fire.

This scene caused Kite to rush across the ground. It was so scary that",GPT-2,463
As they argued,"As they argued about what they thought of this new law, they got some very interesting replies. The first was one from a guy who had some sort of background to know ""Billionaires are coming in"" and he thought it was all a form",GPT-2,24
In the hallway,"In the hallway just outside her bedroom, Lucy had overheard something that had not escaped her mother when she entered the house. On the evening of Monday 29 February, Lucy had been home with Aiden, and had finished her homework late. She went into",GPT-Neo,180
"Slowly, she breathed","Slowly, she breathed the air, the sweet, sweet scent of the trees. Her lungs filled with the scent. She could taste it, the fragrance, the earthy scent, the damp bark, and she imagined herself on the back of a",GPT-Neo,295
The ocean roared,"The ocean roared with the sound of the waves, and the sea was filled with the sound of the waves. The sea was filled with the sound of the waves. The sea was filled with the sound of the waves. The sea was filled with",BLOOM,503
The waves lapped,"The waves lapped the pavement, turning one way and the other, but no one was still in the road in the early hours of Tuesday.

In the early hours of Wednesday morning, a witness noticed a man walking down the street. He",GPT-2,604
"Slowly, he typed","Slowly, he typed in the address of the website. He had been there before, but he had never been able to find the right words to say. He had been too angry, too hurt, too confused. He had been too much of",Falcon-7B,293
The coffee steamed,"The coffee steamed milk is the best part.
I'm not sure if I'm supposed to be impressed or disgusted.
I'm not sure if I'm supposed to be impressed or disgusted.
I'm not sure if I'm supposed",OPT,375
In the study,"In the study, researchers examined more than 100 people aged 18 to 40 who had not participated in any kind of weight loss program. Their weight dropped from a typical 70+ pounds for 18 months, to less than 55. The researchers found that in the",GPT-2,208
In the field,"In the field of semiconductor devices, a semiconductor device having a structure in which a semiconductor chip is mounted on a substrate is known. In such a semiconductor device, a semiconductor chip is mounted on a substrate by a method such",OPT,172
The curtain fell,"The curtain fell on the 2015 Major League Baseball free-agent frenzy on a Saturday for the most part, but there were a few notable players who remained unsigned into the new year. While many were looking into their free-agent options and trying to figure",GPT-Neo,387
The scene came,"The scene came to life as the sun set over the city of Chicago. The Chicago Symphony Orchestra, under the direction of Riccardo Muti, performed the final concert of the 2017-18 season. The program included the world premiere of",Falcon-7B,545
The door opened,"The door opened, and she slipped into the room, closing the door softly behind her.

""You look like you could use the rest after the late night.""

""I do.""

""Want to talk about it?""",GPT-Neo,404
As spring arrived,"As spring arrived, New Englanders started to get used to the idea of getting their walking shoes muddy and finding the soles of their boots soaked in the first warm rain of the season.

It was enough to cause many to stop in their",GPT-Neo,18
The water splashed,"The water splashed on the floor, and the floor splashed on the water. The water splashed on the floor, and the floor splashed on the water. The water splashed on the floor, and the floor splashed on the water",BLOOM,600
She performed the,"She performed the song ""I'm Not That Girl"" from her new album, ""The Story of Us,"" which was released on Tuesday.
The ""American Idol"" alumna also performed her new single, ""I'",Falcon-7B,254
As they enchanted,"As they enchanted the audience with their music, the two musicians also enchanted the audience with their stories.
The two musicians, who are also brothers, were born in the same year, 1980, in the same city, and they both started",Falcon-7B,36
"Carefully, she aimed","Carefully, she aimed for the head.
I think she was aiming for the heart.",OPT,81
The alarm blared,"The alarm blared and the room went dark.

A red light flashed across the dial of their watches.

‘I’m not a big fan of this part,’ said the guard.

‘We",GPT-Neo,306
"Quietly, she wrote","Quietly, she wrote to me saying that she was thinking of me and wondering when they would take me back. It was a letter full of hope, full of love for us both.

As I look back on that Christmas and the",GPT-Neo,230
She mixed the,"She mixed the ingredients to create the sweet potato. I did the math by hand.

4.5 from 0 votes Print Sweet Potato Covered Rice and Rice with Corn Tortilla Nuts Prep Time 10 mins Cook Time 55 mins Total Time 55",GPT-2,252
In the corridor,"In the corridor of the “Kazan” hotel, the “Kazan” hotel, the “Kazan” hotel, the “Kazan” hotel, the “Kazan” hotel, the",Falcon-7B,163
The bird nested,"The bird nested down from above and fell for a while, and then fell back down on to the side of the ground. He became so conscious of it he ran away screaming with horror.

""Didn't a dog have claws in the",GPT-2,327
Turning the page,"Turning the page to a more suitable location on the Web, you will be able to add ""Your Information"". You may optionally set ""Use Personal Privacy"" as the second link. The third link in the page will indicate that you already have an",GPT-2,616
The fire flickered,"The fire flickered in the air, illuminating the ground around it. The buildings here are very much intact. The ground seemed more covered than most of the building after the burn. The walls here were intact, but the roof had been torn like",GPT-2,422
The sun set,"The sun set over the ocean, the waves rolled in, and everything was still except for the sound of the waves breaking on the shore. It was one last beautiful night in Sydney as I sat, looking out at the view of the city that I",GPT-Neo,574
He stretched his,"He stretched his arms out and pulled me into his chest. ""I'm sorry, baby. I'm so sorry.""
I wrapped my arms around his waist and held on tight. ""I'm sorry, too. I",Falcon-7B,135
The night echoed,"The night echoed with the sound of the drums. The drums were beating in the distance, and the sound was getting closer. The drums were beating in the distance, and the sound was getting closer. The drums were beating in the distance, and the",Falcon-7B,500
The bell chimed,"The bell chimed to call people to prayers and to help their neighbours. “All that is in your name let no man put asunder,” was the first line of the prayer. At the end of it we said our own thanks",GPT-Neo,321
As twilight fell,"As twilight fell, and the sun was shining, and the moon was
glowing, and the stars were shining, and the earth was shining, and the
sea was shining, and the mountains were shining, and the earth was
gl",BLOOM,68
The phone rang,"The phone rang.
It was the police.
I was in the middle of a conversation with my mother.
I was in the middle of a conversation with my mother.
I was in the middle of a conversation with my mother.",OPT,515
The grass swayed,"The grass swayed in the wind.
The grass swayed in the wind.
The grass swayed in the wind.
The grass swayed in the wind.
The grass swayed in the wind.
The grass swayed in the wind.
The",OPT,444
The music played,The music played along the soundline in a way we have never done before. The whole point of this is to let these young artists create something new to be played here. They want to create and share this experience they just did with themselves.,GPT-2,496
"Quietly, she hummed","Quietly, she hummed a tune she had heard in the village. It was a song about a young girl who had been kidnapped by a band of thieves. The girl had been rescued by a handsome prince who had fallen in love with her",Falcon-7B,226
As they deciphered,"As they deciphered the code, they found a message that said ""I'm sorry, I'm not a robot.""
I'm sorry, I'm not a robot.  I'm sorry, I'm not a robot.  I",OPT,34
The moon glowed,"The moon glowed in the darkening sky. A pair of eyes stared back. They belonged to a young woman with raven black hair tucked behind her ear. She wore a black leather pantsuit, with a large white belt, and she had the",GPT-Neo,489
The baby laughed,"The baby laughed at the end.
I think it was more of a ""I'm not going to let you get away with this"" laugh.",OPT,317
He sculpted the,"He sculpted the statue for the bronze relief, but did not have the final decision, for the bronze workers had not been paid. They also made him a contract and paid him a fixed salary of $3,000—a wage he was able",GPT-Neo,129
The map unfolded,"The map unfolded before me. It was very large. It was also very thick and confusing. In fact, it seemed like it had been designed by a genius. The design was so elaborate that I could not believe they could have made it up without",GPT-Neo,483
"Slowly, she walked","Slowly, she walked away from the room, and the
wonderful, beautiful, and beautiful girl, who had been so kind to her,
was gone. She had been so kind to her, and she had been so kind to",BLOOM,300
He searched for,"He searched for it, and found it in a dusty box in The Great Library of the City of Zendikar. Inside the box was a small stone tablet inscribed with a single word.

It was _Draenei_.",GPT-Neo,130
The kite rose,"The kite rose up, twisting and turning with the wind, and then it was a blur of colors, like a painting of a sailboat. The kite sailed into the sky and away from the sun, and it rose higher and higher,",GPT-Neo,462
As they danced,"As they danced, the girls were all laughing and dancing. The girls were all laughing and dancing. The girls were all laughing and dancing. The girls were all laughing and dancing. The girls were all laughing and dancing. The girls were all laughing",BLOOM,33
The rain poured,"The rain poured down. The air was extremely moist.

The people rushed to the building, the two of them, both of them with the sword. Both of them stood before Bai Bing with their heads down and their arms over their head,",GPT-2,533
In the network,"In the network appeared the first photo of the new iPhone 7.
The photo was published on the website of the Chinese company Xiaomi.
The photo shows the back of the smartphone, which is made in the same style as the iPhone 6",Falcon-7B,193
The fog lifted,"The fog lifted and the sun came out.
The fog lifted and the sun came out.
The fog lifted and the sun came out.
The fog lifted and the sun came out.
The fog lifted and the sun came out.",Falcon-7B,434
She stepped forward,"She stepped forward and placed his hand on her chest. ""Yes.""

He took a step closer, and his hand closed into a fist. ""I don't believe you.""

""You are wrong.""

""How did I",GPT-Neo,272
The toppings added,"The toppings added a unique bit of realism to the show, and added in some of the best action I have ever seen (in a big way) against various villains. I saw how it handled all the various characters fighting, and tried to create",GPT-2,583
The engine roared,"The engine roared to life, and the car lurched forward.
""I'm going to have to get a new car,"" I said. ""I'm not sure I can afford to keep this one.""
""You'll",Falcon-7B,412
The letter arrived,The letter arrived in the mail on the day of the wedding. I was so happy to have it. I was so happy to have it. I was so happy to have it. I was so happy to have it. I was so happy to,BLOOM,473
As they ran,"As they ran, the two men were stopped by a police officer. The officer asked the man to leave the scene and the man said he was not interested in the police. The officer then asked the man to leave the scene and the man said he",BLOOM,52
"Slowly, he breathed","Slowly, he breathed in and out, trying to get the air out of his lungs.
He was trying to get the air out of his lungs.
He was trying to get the air out of his lungs.
He was trying",OPT,284
In the study,"In the study, Dr. Lipsky and his colleagues showed that the combination of a dopamine-releasing peptide and a D2 receptor agonist delivered through a virus caused allosensitization or cross-reactivity, such as when",GPT-Neo,208
As the wind,"As the wind speed is low, the wind direction is the same as the wind direction of the previous day. The wind direction is the same as the wind direction of the previous day. The wind direction is the same as the wind direction of the previous",BLOOM,21
As they ran,"As they ran down the slope.

Then, after a moment she turned to face him again. ""Don't you ever run away from me again.""

He had to admit to himself that this was probably the most exciting thing he had",GPT-Neo,52
The boat rocked,"The boat rocked and the wind blew. The wind was blowing in the direction of the boat, and the boat rocked and the wind blew. The wind was blowing in the direction of the boat, and the boat rocked and the",BLOOM,330
He looked around,"He looked around nervously and took out the bottle before taking him for a drink at the kitchen counter.

""It's just a very small sample,"" he said as his partner sat down in the kitchen opposite him with his head bowed to the side",GPT-2,114
With a gallop,"With a gallop, a gallop, and a gallop.

And then it's on to the final turn, and in that turn the final whistle, the final ball and the final whistle and the final whistle and the final whistle and",GPT-2,636
As night fell,"As night fell on the first day of the 2018 World Cup, the United States was still in search of its first win.
The Americans had lost their first two matches, and the pressure was mounting on coach Bruce Arena.
The U",Falcon-7B,15
The leaves rustled,"The leaves rustled, and as a gust of wind buffeted the forest, they rustled in answer, like a curtain pulled back and slowly closed when the wind had faded.

A moment later, the curtain was lowered, and the young",GPT-Neo,470
The leaves drifted,"The leaves drifted away from the tree.
The leaves drifted away from the tree.
The leaves drifted away from the tree.
The leaves drifted away from the tree.
The leaves drifted away from the tree.
The leaves drifted away",OPT,467
The horse neighed,The horse neighed and the horse ran away. The horse ran away. The horse ran away. The horse ran away. The horse ran away. The horse ran away. The horse ran away. The horse ran away. The horse ran away.,BLOOM,448
As night fell,"As night fell on the first day of the 2018 World Cup, the United States was still in search of its first win.
The Americans had lost their first two matches, and the pressure was mounting on coach Bruce Arena.
The U",Falcon-7B,15
The storm raged,"The storm raged for hours, and the wind was so strong that the windshields of the cars were blown off. The windshields of the cars were blown off. The windshields of the cars were blown off.",BLOOM,569
As they baked,"As they baked the cake, the cake was being baked.
I'm not sure if you're being sarcastic or not, but I'm going to assume you're being sarcastic.
I'm not being sarcastic.  I'm just saying that",OPT,25
The wind howled,"The wind howled to a high pitch. They stood there, still. The wind beat them, crushing them.

""You'll find your friends and your home, young man,"" said Naga the girl's father, Nala, leaning",GPT-2,610
The weights clanked,"The weights clanked together and the door slammed shut.

The door slammed shut.

The door slammed shut.

The door slammed shut.

The door slammed shut.

The door slammed shut.

The",OPT,605
The tea steamed,"The tea steamed. The men drank.

But the man with the beard was still waiting.

""So it ends in tragedy,"" one of the men said to his friends. ""And then it's time to put it behind us",GPT-Neo,579
The muscles warmed,The muscles warmed up and the blood flow to the brain increased.,OPT,494
The door opened,"The door opened and the man entered. He was dressed in a suit of
black, and his face was very grave. He was a man of forty-five, and
was very tall. He had a large, dark, and thin figure,",BLOOM,404
He remembered when,"He remembered when I came back. Then they came in after I got my first test as an ambassador and they said one could look at it as this,"" said Leitner.

She could not remember any of it. ""It was hard",GPT-2,126
The query returned,"The query returned a result which contained the following data:

A partial statement that contains the query's argument list.

A comment describing the expression type and type signature.

A table declaration containing fields and type declarations. For a full",GPT-2,526
In the library,"In the library we were trying to build a module that implements all the methods that Python calls and how they work, we needed a way to do that without the overhead of the main library, so we used the function-mapping to define interfaces.",GPT-2,184
In the backyard,"In the backyard of a house in the middle of the night, a man and a woman are having sex. The man is wearing a black t-shirt and jeans. The woman is wearing a black t-shirt and jeans. The man is",OPT,149
With a sniffle,"With a sniffle in the air, the temperature at last rose above the mid-70s in New York City for what was easily the longest single-day streak of the year. As the heat baked the city into its second day of an unrel",GPT-Neo,652
The plot thickened,"The plot thickened this month to include a scene from ""Saturday Night Live"" where the cast members were seen in front of a red light.

Lanning said he spoke to a local ""red lighter"" at the theater where it",GPT-2,520
The door creaked,"The door creaked open and I saw the man behind me, walking towards me. He smiled brightly.

I opened the door, and I heard everyone on the other side start to cry. The man stood in front of me. He was",GPT-2,403
With a gasp,"With a gasp, the man shook his head and looked at the woman. She was still standing there, her eyes still closed. She was still holding her breath, but she was still smiling. She was still smiling. She was still",BLOOM,637
With a laugh,"With a laugh, he continued. ""Yes, ma'am. I'll see to it.""

""That is very considerate.""

Sylvia's heart began to pound. She prayed that he didn't notice the lump in",GPT-Neo,642
The car honked,"The car honked.
I looked up.
The car honked again.
I looked up again.
The car honked a third time.
I looked up a third time.
The car honked a fourth time.",Falcon-7B,352
With a breath,"With a breath of fresh air, the new year is upon us. It’s time to start thinking about what you want to accomplish in 2018.
If you’re like most people, you’ve probably already started thinking about your",Falcon-7B,622
She crossed the,"She crossed the street and walked up the steps to the front door. She rang the bell and waited.
The door opened and a young woman stood there. She was wearing a white blouse and a black skirt. Her hair was pulled back in a",Falcon-7B,238
She smiled and,"She smiled and said ""I'm sorry""
I'm sorry you're a fucking idiot.
I'm sorry you're a fucking idiot.
I'm sorry you're a fucking idiot.
I'm sorry you're a fucking idiot.",OPT,269
The pen scratched,"The pen scratched the paper.
I think it's the other way around.",OPT,512
The timer stopped,"The timer stopped when it reached 30,000 miles. I was sure I could do at least 1,500 miles with my legs and brain working together. At the end, I turned on the radio as usual and found, to my complete surprise and",GPT-Neo,582
The candle flickered,"The candle flickered in the darkness.
The candle flickered in the darkness.
The candle flickered in the darkness.
The candle flickered in the darkness.
The candle flickered in the darkness.
The candle flickered in",Falcon-7B,347
The moon glowed,"The moon glowed in the sky, and the stars twinkled in the night sky. The air was crisp and cool, and the wind blew gently. The trees rustled, and the leaves crunched underfoot. The moon was full, and",Falcon-7B,489
The river rushed,"The river rushed by, the sun shone, and the birds sang.
The river rushed by, the sun shone, and the birds sang.
The river rushed by, the sun shone, and the birds sang.
The river rushed by,",Falcon-7B,539
As they laughed,"As they laughed, they were laughing at the fact that they were laughing at the fact that they were laughing at the fact that they were laughing at the fact that they were laughing at the fact that they were laughing at the fact that they were laughing at",BLOOM,45
In the laboratory,"In the laboratory, we have developed a new method for the detection of the presence of the virus in the blood of patients with COVID-19. The method is based on the use of a special type of nanoparticles, which are able to detect the presence",Falcon-7B,182
The smoke drifted,"The smoke drifted away, and the wind was blowing in the opposite direction. The wind was blowing in the opposite direction. The wind was blowing in the opposite direction. The wind was blowing in the opposite direction. The wind was blowing in the opposite",BLOOM,553
The door creaked,"The door creaked and shut behind him, and he was pulled into the kitchen, where he was taken to his mother, now in a coma, who was left with a small child.

After having met her for a while, he asked",GPT-2,403
With a chisel,"With a chisel, knife, cutting tool or other similar tool, cutting tool will be required to cut this piece.

In the following section, we will consider a number of common methods.

Dressing up a chisel",GPT-2,626
The camera clicked,The camera clicked. I felt a deep-seated sense of guilt for doing so on purpose. I was a fool to make someone suffer. The only thing I could do was find an excuse to take it easy as a sign to him…the,GPT-2,341
The kite dipped,"The kite dipped into the water and the wind blew it away. The wind was blowing in the opposite direction, so the kite was still flying. The wind was blowing in the opposite direction, so the kite was still flying.",BLOOM,461
The kite dipped,"The kite dipped in the salt would still break down when it was released, making it more sensitive to water. It wasn't meant as a substitute for bottled water. At the very least they should use it as a replacement for salt.",GPT-2,461
He looked down,"He looked down and said, ""Look at him!""

I heard his voice, and then his eyes lit up with fear and terror, and then he came back.

""Come on into the Hall!"" he said, ""come there",GPT-2,117
He whispered to,"He whispered to me, “You’re not going to be able to get a job.”
“You’re not going to be able to get a job.” I said. “You’re not going to be able to get a job",BLOOM,146
The dust settled,"The dust settled, and the new, more robust models were finally released. However, one thing has always intrigued me and I'm pleased to say it continues to surprise me.

Let me be clear: I DO NOT advocate putting out a cheap",GPT-2,409
The toys scattered,The toys scattered around have been cleared of snow and dirt. The kids love it. But the trees outside have been cut down. We will need a new tree for our Christmas celebration. We are putting in a tree outside. The tree is beautiful.,GPT-Neo,584
With a frown,"With a frown, I looked at the clock. It was 3:30 in the morning. I had been awake for hours. I had been tossing and turning, trying to get comfortable. I had been trying to get to sleep. I had",Falcon-7B,635
The trail beckoned,"The trail beckoned.
I had been wanting to hike the “Highline Trail” for a while. It is a 65 mile trail that runs from the North Shore of Lake Superior to the South Shore. It is a National Scenic Trail",Falcon-7B,585
The snow melted,"The snow melted to sea-level by mid-July, leaving behind a dry winter that resulted in little if any rain and drought conditions that prompted wildfires across the West and California's Central Valley.

Still, farmers in the U.S.",GPT-Neo,557
The data secured,"The data secured by the blockchain is encrypted and cannot be accessed by anyone.

The blockchain is a distributed ledger that records transactions and other data.

The blockchain is a distributed ledger that records transactions and other data.

The blockchain",OPT,392
As they invented,"As they invented the concept of the “free market”, they were able to make a profit. They were able to make a profit by selling their products to the public. They were able to make a profit by selling their products to the public.",BLOOM,44
As they watched,"As they watched the video, the students were asked to identify the different types of bullying.
“I think it’s important to know what bullying is,” said 11-year-old student, Kaitlyn. “It’s",Falcon-7B,66
With a taste,"With a taste for spicy foods with this, and a fondness for sweet pastries, this is a quick picker from the ""Spicy"" series of popular restaurants that serve it.",GPT-2,658
With a smile,"With a smile on his face, the old man walked up to the three of them and offered them the pair of bookshelfs.

""I am so glad that you didn't see that,"" the old man said, sounding slightly angry",GPT-2,649
The clock chimed,"The clock chimed the fourth and twelfth octaves, the voice calling out the words: Behold, with the power you have gathered, you cannot resist or die; at the dawnbreak, the sound of men ceasing, we are at",GPT-2,370
"Quietly, she wrote","Quietly, she wrote her name on the back of the card.
""I'm sorry,"" she said. ""I'm sorry for everything.""
She handed the card to him.
""I'm sorry for everything",Falcon-7B,230
In the kitchen,"In the kitchen, the rest of the team were discussing how a large piece of meat would do more than just eat as part of a dish, but to make themselves in more efficient ways.

It was clear that they'd been experimenting with the",GPT-2,181
She posed for,"She posed for the photographs from behind the wheel of her car after taking part in a drive to promote the upcoming National Day for Rural Communities in Córdoba, Argentina. Photo by the author

As many as 70 million people live in cities",GPT-Neo,255
The train arrived,The train arrived at the station and the train driver was very polite and helpful. The train was very comfortable and the seats were comfortable. The train was very clean and the seats were comfortable. The train was very comfortable and the seats were comfortable. The,BLOOM,586
He harvested the,"He harvested the first of his 2013 crop of potatoes on Monday.
The 2013 crop is a little smaller than last year’s, but he’s still pleased with the yield.
“I’m happy with it,”",Falcon-7B,112
The flavors balanced,"The flavors balanced out nicely. I would have liked a little more of the sauce, but it was still good.
I used a 1/2 cup of the sauce to marinate the chicken and then used the rest as a dipping sauce.",Falcon-7B,428
With a sneeze,"With a sneeze, the man in the car pulled out his handgun and shot him in the face. The man in the car was shot in the back. The man in the car was shot in the back. The man in the car was",BLOOM,651
The actor emerged,"The actor emerged from a five-year retirement to take on the role of President-elect Donald Trump in a new television series on NBC, which is set to air in November.

‘Saturday Night Live’ alum Seth Meyers said",GPT-Neo,304
In the cellar,"In the cellar of her husband's family home, the home of her childhood, there was an old walnut wardrobe full of dresses.

They were made by her mother-in-law's seamstress back in the 1940s, when dresses",GPT-Neo,158
The fire crackled,"The fire crackled and popped in the fireplace, and the smell of burning wood filled the room. The fire was a welcome sight, as the temperature outside was in the single digits. The snow was falling, and the wind was blowing. The temperature",Falcon-7B,418
The car stopped,The car stopped in front of the house. The driver got out and opened the door for the passenger. The passenger got out and walked up the steps to the front door. The driver got out and walked around to the passenger side of the car.,Falcon-7B,355
The river meandered,"The river meandered through the forest, and the
forest was full of trees, and the trees were all of the same size and
kind. The river was very narrow, and the trees were all of the same
kind. The river",BLOOM,538
The candle burned,"The candle burned for a long time, and the fire was still burning. The fire was still burning, and the fire was still burning. The fire was still burning, and the fire was still burning. The fire was still burning, and the fire",BLOOM,346
The dog barked,"The dog barked at the door.
I think it was the cat.",OPT,397
"Slowly, he walked","Slowly, he walked towards the door.
He was about to enter the room when he heard a loud noise.
He turned around and saw a man standing in the doorway.
He was wearing a black suit and a white shirt.",OPT,294
"Slowly, she breathed","Slowly, she breathed in the air and the wind was
soft and gentle. She was not quite sure of the direction of the
wind, but she knew that it was blowing in the right direction. She
was not quite sure of",BLOOM,295
The kite danced,"The kite danced in the wind,
The kite danced in the wind,
The kite danced in the wind,
The kite danced in the wind,
The kite danced in the wind,
The kite danced in the wind,
The kite",Falcon-7B,460
In the kitchen,"In the kitchen, the most important thing is the stove. It is the heart of the kitchen. The stove is the most important equipment in the kitchen. It is the most important equipment in the kitchen. It is the most important equipment in the kitchen",Falcon-7B,181
The water rippled,The water rippled and the wind blew. The wind was blowing in the direction of the sun. The sun was shining and the wind was blowing in the direction of the wind. The wind was blowing in the direction of the sun. The,BLOOM,599
In the hallway,"In the hallway, the two men were talking about the future of the city. The man in the brown hat was talking about the future of the city. The man in the brown hat was talking about the future of the city. The man in",BLOOM,180
The baby laughed,"The baby laughed at me. “Let’s cut it in half.”

“No!” I said. “I’m going to put it in a box.”

The kid",GPT-Neo,317
With a gasp,"With a gasp, the man shook his head and looked at the woman. She was still standing there, her eyes still closed. She was still holding her breath, but she was still smiling. She was still smiling. She was still",BLOOM,637
In the lake,"In the lake, you'll find something similar to the ones in the lake above though. Like in the water and the lakes, the lake is a little drier. The water will give a more comfortable feel for a swim and make it easier to",GPT-2,183
He whispered to,"He whispered to me that he was going to kill me.
I'm sorry to hear that. I hope you're doing better now.
I'm doing better now. Thank you.",OPT,146
The puppy wagged,"The puppy wagged his tail and barked.
The puppy wagged his tail and barked. “I’m hungry,” he said. “I’m hungry,” he said. “I’m hungry,” he said",Falcon-7B,525
The chalk dust,"The chalk dust is a nice touch.
I was thinking the same thing.  I'm not sure if it's chalk dust or just dust from the chalk.",OPT,361
With a gallop,"With a gallop, the horse gallops.
With a gallop, the horse gallops.
With a gallop, the horse gallops.
With a gallop, the horse gallops.
With a gallop,",OPT,636
Running through the,"Running through the numbers? Then why bother looking.

No matter the outcome, a team has to be able to beat them because it has to be at least an A-League team that can do so. And while this is certainly a big",GPT-2,231
In the study,"In the study of the effect of the presence of the drug on the activity of the enzyme, the effect of the drug on the activity of the enzyme was studied in the presence of the enzyme. The results of the study are shown in Table 1.",BLOOM,208
With a sigh,"With a sigh of relief, and a lot of the work done to get our city closer to the goals of all the important things, we decided to begin with what I believe is the best possible place to do this kind of work. We're going",GPT-2,648
He climbed the,"He climbed the ladder to the top of the tower and then he climbed the ladder to the top of the tower.
He climbed the ladder to the top of the tower and then he climbed the ladder to the top of the tower.
He",OPT,106
"Quietly, she moved","Quietly, she moved her head back and forth, and
looked at the little girl. She was a little girl, and she was not
very pretty, but she was not very ugly. She was a little girl, and",BLOOM,227
As they observed,"As they observed the two of them arguing, one of them put away the gun and the other drew the revolver they took from Lomax. They argued for a minute or two. Then they argued some more. The man with the revolver, as",GPT-Neo,48
As they talked,"As they talked, the sun rose higher in the sky, and the heat of the day began to build. The air was still, and the only sound was the occasional call of a bird.
""I'm going to have to go soon",Falcon-7B,60
As they analyzed,"As they analyzed the data in 2010 and 2011, Dr Alhassan said most people in India are not ""just bad consumers"" due to the high price of natural gas, a major contributor to the rising costs of electricity which drive up prices for",GPT-2,23
The candle burned,"The candle burned for 3 days, it then burned for 4 days. If you have experienced burns, and then suddenly lose sight of it after 2 or 3 days with no apparent reason at all, you should not try out using this brand.",GPT-2,346
"Quietly, she moved","Quietly, she moved to the back of the room, and began to read the book.
She was reading a book about the history of the United States.
She was reading it in a quiet voice, and she was reading it",OPT,227
She stirred the,"She stirred the pot. He raised the glass.

""It's like you said,"" I said.

""So it's not. It's not.""

""This is where they should probably make me a job in a few",GPT-2,273
The lunch crowd,"The lunch crowd at New York’s Union Square was quiet. They all looked at their phones, waiting for the service to begin, which would be around noon. Soon they could hear the clatter of keys, the hum of a laptop,",GPT-Neo,480
"Carefully, he measured","Carefully, he measured the distance between the two points.
I'm not sure if you're being sarcastic or not, but I'm pretty sure that's not how it works.
I'm not being sarcastic.",OPT,75
With a grunt,"With a grunt, I was able to get the file to work. I was able to get the file to work. I was able to get the file to work. I was able to get the file to work. I was able to get",BLOOM,640
The rain fell,"The rain fell for over two seconds; there were no sound from the boat at all after that, but it was still clear, that the boat had come down somewhere safe, and that we would be able to put down the rest of our supplies and",GPT-2,531
He discovered the,"He discovered the ""secret"" of the universe.
He discovered the ""secret"" of the universe.
I'm not sure if this is a joke or not, but I'm going to assume it is.
I'",Falcon-7B,110
